day,task_seq,item_type,league_code,league_name,api_league_id,start_year,estimated_calls,notes
1,1,rosters,TOP5,Top5 Rosters,0,2025,161,players/squads per distinct team in scope
1,2,league_season_part_1,E0,Premier League,39,2025,200,fixtures=1 events=664 players=40 | chunk=1
1,3,league_season_part_2,E0,Premier League,39,2025,200,fixtures=1 events=664 players=40 | chunk=2
1,4,league_season_part_3,E0,Premier League,39,2025,200,fixtures=1 events=664 players=40 | chunk=3
1,5,league_season_part_4,E0,Premier League,39,2025,105,fixtures=1 events=664 players=40 | chunk=4
2,6,league_season_part_1,SP1,La Liga,140,2025,200,fixtures=1 events=640 players=40 | chunk=1
2,7,league_season_part_2,SP1,La Liga,140,2025,200,fixtures=1 events=640 players=40 | chunk=2
2,8,league_season_part_3,SP1,La Liga,140,2025,200,fixtures=1 events=640 players=40 | chunk=3
2,9,league_season_part_4,SP1,La Liga,140,2025,81,fixtures=1 events=640 players=40 | chunk=4
2,10,league_season_part_1,I1,Serie A,135,2025,200,fixtures=1 events=660 players=40 | chunk=1
3,11,league_season_part_2,I1,Serie A,135,2025,200,fixtures=1 events=660 players=40 | chunk=2
3,12,league_season_part_3,I1,Serie A,135,2025,200,fixtures=1 events=660 players=40 | chunk=3
3,13,league_season_part_4,I1,Serie A,135,2025,101,fixtures=1 events=660 players=40 | chunk=4
3,14,league_season_part_1,D1,Bundesliga,78,2025,200,fixtures=1 events=540 players=36 | chunk=1
3,15,league_season_part_2,D1,Bundesliga,78,2025,200,fixtures=1 events=540 players=36 | chunk=2
4,16,league_season_part_3,D1,Bundesliga,78,2025,177,fixtures=1 events=540 players=36 | chunk=3
4,17,league_season_part_1,F1,Ligue 1,61,2025,200,fixtures=1 events=536 players=36 | chunk=1
4,18,league_season_part_2,F1,Ligue 1,61,2025,200,fixtures=1 events=536 players=36 | chunk=2
4,19,league_season_part_3,F1,Ligue 1,61,2025,173,fixtures=1 events=536 players=36 | chunk=3
4,20,league_season_part_1,E0,Premier League,39,2024,200,fixtures=1 events=760 players=40 | chunk=1
5,21,league_season_part_2,E0,Premier League,39,2024,200,fixtures=1 events=760 players=40 | chunk=2
5,22,league_season_part_3,E0,Premier League,39,2024,200,fixtures=1 events=760 players=40 | chunk=3
5,23,league_season_part_4,E0,Premier League,39,2024,200,fixtures=1 events=760 players=40 | chunk=4
